Code_Client,Date Achat,Numero Commande,Numero Ligne Produit,Code Produit,Quantite,PrixVenteTTCHorsRemise,PrixVenteTTCAvecRemise,Heure,Code Magasin,CodeVendeur,Montant
3557955.000,2017-01-04 00:00:00,16402.000,2.000,75210.000,1.000,11.067,11.067,1227.000,10000.000,29.000,11.067
3557958.000,2017-01-04 00:00:00,16532.000,3.000,90701.000,1.000,70.667,67.133,1739.000,10001.000,29.000,70.667
3557958.000,2017-01-04 00:00:00,16532.000,2.000,96334.000,1.000,14.000,13.307,1739.000,10000.000,29.000,14.000
3557958.000,2017-01-04 00:00:00,16532.000,1.000,102058.000,1.000,7.867,7.467,1739.000,10001.000,29.000,7.867
3557963.000,2017-01-04 00:00:00,16518.000,1.000,100839.000,1.000,60.267,60.267,1711.000,10000.000,29.000,60.267
3680631.000,2017-01-04 00:00:00,16385.000,1.000,26491.000,1.000,44.267,44.267,1120.000,10002.000,31.000,44.267
4012617.000,2017-01-04 00:00:00,16525.000,1.000,36014.000,1.000,64.133,64.133,1728.000,10000.000,2.000,64.133
4215108.000,2017-01-04 00:00:00,16548.000,3.000,97737.000,1.000,13.333,13.333,1810.000,10000.000,2.000,13.333
4251517.000,2017-01-04 00:00:00,16359.000,2.000,93878.000,1.000,15.867,15.867,941.000,10002.000,4.000,15.867
4548635.000,2017-01-04 00:00:00,16406.000,1.000,2931.000,1.000,13.627,13.627,1244.000,10000.000,13.000,13.627
4650701.000,2017-01-04 00:00:00,16442.000,7.000,73785.000,1.000,2.613,2.613,1418.000,10000.000,3.000,2.613
4650701.000,2017-01-04 00:00:00,16442.000,3.000,73469.000,1.000,14.267,14.267,1418.000,10000.000,3.000,14.267
4650701.000,2017-01-04 00:00:00,16442.000,8.000,58745.000,1.000,4.000,4.000,1418.000,10000.000,3.000,4.000
4650701.000,2017-01-04 00:00:00,16442.000,9.000,12483.000,1.000,12.933,12.933,1418.000,10000.000,3.000,12.933
4650702.000,2017-01-04 00:00:00,16420.000,1.000,71486.000,1.000,85.467,85.467,1319.000,10000.000,31.000,85.467
4650702.000,2017-01-04 00:00:00,16420.000,3.000,97036.000,1.000,56.960,56.960,1319.000,10000.000,31.000,56.960
4650703.000,2017-01-04 00:00:00,16401.000,2.000,70560.000,1.000,5.733,5.733,1224.000,10000.000,29.000,5.733
4650705.000,2017-01-04 00:00:00,16366.000,1.000,32272.000,1.000,24.400,24.400,1006.000,10000.000,13.000,24.400
4650705.000,2017-01-04 00:00:00,16366.000,4.000,37247.000,1.000,19.867,19.867,1006.000,10000.000,13.000,19.867
4650707.000,2017-01-04 00:00:00,16476.000,2.000,100322.000,1.000,68.800,68.800,1539.000,10000.000,29.000,68.800
4651928.000,2017-01-04 00:00:00,16477.000,4.000,98175.000,1.000,31.600,31.600,1543.000,10000.000,13.000,31.600
4651928.000,2017-01-04 00:00:00,16477.000,1.000,98177.000,1.000,53.333,53.333,1543.000,10000.000,13.000,53.333
4651928.000,2017-01-04 00:00:00,16477.000,6.000,57906.000,1.000,4.667,4.667,1543.000,10000.000,13.000,4.667
4651928.000,2017-01-04 00:00:00,16477.000,3.000,98167.000,1.000,21.867,21.867,1543.000,10000.000,13.000,21.867
4651928.000,2017-01-04 00:00:00,16477.000,5.000,322.000,1.000,6.027,6.027,1543.000,10000.000,13.000,6.027
4651929.000,2017-01-04 00:00:00,16457.000,1.000,33038.000,1.000,38.667,38.667,1458.000,10000.000,31.000,38.667
1470868.000,2017-01-04 00:00:00,25826.000,1.000,102799.000,1.000,5.467,5.467,1002.000,10000.000,24.000,5.467
1998815.000,2017-01-04 00:00:00,25897.000,1.000,101782.000,1.000,72.000,72.000,1246.000,10000.000,3.000,72.000
2248174.000,2017-01-04 00:00:00,26035.000,3.000,101736.000,1.000,62.533,62.533,1815.000,10000.000,28.000,62.533
2248174.000,2017-01-04 00:00:00,26035.000,2.000,24215.000,1.000,53.333,53.333,1815.000,10000.000,28.000,53.333
2248318.000,2017-01-04 00:00:00,26051.000,1.000,95280.000,1.000,44.400,44.400,1847.000,10000.000,15.000,44.400
2248511.000,2017-01-04 00:00:00,25880.000,1.000,2067.000,1.000,11.067,10.507,1206.000,10000.000,23.000,11.067
2248512.000,2017-01-04 00:00:00,25871.000,2.000,21263.000,1.000,75.733,75.733,1146.000,10000.000,24.000,75.733
2248512.000,2017-01-04 00:00:00,25871.000,3.000,21167.000,1.000,85.467,85.467,1146.000,10000.000,24.000,85.467
2248537.000,2017-01-04 00:00:00,25883.000,1.000,102001.000,1.000,68.000,68.000,1213.000,10000.000,23.000,68.000
2248654.000,2017-01-04 00:00:00,25987.000,1.000,73309.000,1.000,29.867,28.373,1644.000,10000.000,10.000,29.867
2248699.000,2017-01-04 00:00:00,25845.000,2.000,100706.000,1.000,30.933,30.933,951.000,10000.000,10.000,30.933
2248820.000,2017-01-04 00:00:00,26036.000,1.000,1962.000,1.000,9.467,9.467,1817.000,10000.000,4.000,9.467
2273589.000,2017-01-04 00:00:00,25907.000,1.000,5203.000,1.000,48.133,41.960,1312.000,10000.000,28.000,48.133
2273589.000,2017-01-04 00:00:00,25907.000,2.000,66203.000,1.000,105.547,85.053,1312.000,10000.000,28.000,105.547
2273695.000,2017-01-04 00:00:00,25977.000,1.000,89469.000,1.000,22.133,21.027,1608.000,10000.000,15.000,22.133
2273802.000,2017-01-04 00:00:00,26040.000,3.000,55227.000,1.000,29.333,29.333,1825.000,10000.000,4.000,29.333
2273802.000,2017-01-04 00:00:00,26040.000,5.000,102154.000,1.000,5.547,5.547,1825.000,10000.000,4.000,5.547
2273802.000,2017-01-04 00:00:00,26040.000,4.000,50180.000,1.000,36.400,36.400,1825.000,10000.000,4.000,36.400
2273802.000,2017-01-04 00:00:00,26040.000,1.000,100755.000,1.000,17.333,17.333,1825.000,10000.000,4.000,17.333
2273876.000,2017-01-04 00:00:00,25827.000,1.000,100415.000,1.000,16.533,13.907,1007.000,10000.000,22.000,16.533
2273876.000,2017-01-04 00:00:00,25827.000,2.000,2314.000,1.000,73.867,62.160,1007.000,10000.000,22.000,73.867
2274138.000,2017-01-04 00:00:00,26041.000,2.000,33449.000,1.000,18.813,18.813,1827.000,10000.000,4.000,18.813
2274528.000,2017-01-04 00:00:00,25961.000,1.000,100582.000,1.000,56.667,51.613,1438.000,10000.000,10.000,56.667
2274531.000,2017-01-04 00:00:00,26025.000,3.000,101941.000,1.000,78.667,78.667,1743.000,10000.000,3.000,78.667
2274531.000,2017-01-04 00:00:00,26025.000,2.000,21884.000,1.000,26.000,26.000,1743.000,10000.000,3.000,26.000
2274723.000,2017-01-04 00:00:00,25992.000,1.000,80122.000,1.000,89.733,89.733,1655.000,10000.000,3.000,89.733
2274752.000,2017-01-04 00:00:00,25904.000,1.000,95104.000,1.000,91.467,91.467,1303.000,10000.000,3.000,91.467
2274752.000,2017-01-04 00:00:00,25905.000,1.000,95103.000,1.000,68.533,55.200,1304.000,10000.000,3.000,68.533
2274782.000,2017-01-04 00:00:00,25847.000,1.000,42941.000,1.000,8.360,8.360,1051.000,10000.000,23.000,8.360
2274782.000,2017-01-04 00:00:00,25847.000,2.000,71517.000,1.000,35.467,35.467,1051.000,10000.000,23.000,35.467
2274782.000,2017-01-04 00:00:00,25847.000,4.000,101728.000,1.000,72.000,72.000,1051.000,10000.000,23.000,72.000
2274782.000,2017-01-04 00:00:00,25847.000,3.000,53260.000,1.000,50.667,50.667,1051.000,10000.000,23.000,50.667
2274823.000,2017-01-04 00:00:00,25958.000,1.000,62040.000,1.000,40.933,40.933,1426.000,10000.000,23.000,40.933
2275282.000,2017-01-04 00:00:00,25830.000,4.000,61419.000,1.000,29.200,27.733,918.000,10000.000,29.000,29.200
2275282.000,2017-01-04 00:00:00,25830.000,1.000,72308.000,1.000,83.067,78.907,918.000,10000.000,29.000,83.067
2275282.000,2017-01-04 00:00:00,25830.000,5.000,93275.000,1.000,7.867,7.467,918.000,10000.000,29.000,7.867
2275377.000,2017-01-04 00:00:00,26030.000,1.000,39010.000,1.000,76.533,76.533,1759.000,10000.000,28.000,76.533
2275377.000,2017-01-04 00:00:00,26030.000,2.000,102161.000,1.000,13.200,13.200,1759.000,10000.000,28.000,13.200
2275522.000,2017-01-04 00:00:00,26042.000,2.000,74304.000,1.000,11.200,9.493,1829.000,10000.000,15.000,11.200
2276051.000,2017-01-04 00:00:00,25986.000,1.000,44224.000,1.000,120.533,120.533,1545.000,10000.000,3.000,120.533
2276080.000,2017-01-04 00:00:00,26010.000,1.000,102330.000,1.000,37.200,37.200,1720.000,10000.000,10.000,37.200
2276241.000,2017-01-04 00:00:00,26008.000,1.000,101780.000,1.000,72.000,58.667,1717.000,10000.000,3.000,72.000
2276322.000,2017-01-04 00:00:00,25855.000,1.000,102004.000,1.000,61.333,61.333,1103.000,10000.000,23.000,61.333
2276322.000,2017-01-04 00:00:00,25855.000,4.000,90346.000,1.000,6.133,6.133,1103.000,10000.000,23.000,6.133
2276322.000,2017-01-04 00:00:00,25855.000,3.000,102176.000,1.000,8.667,8.667,1103.000,10000.000,23.000,8.667
2276414.000,2017-01-04 00:00:00,25834.000,1.000,99673.000,1.000,8.653,8.107,1022.000,10000.000,24.000,8.653
2276414.000,2017-01-04 00:00:00,25834.000,5.000,72898.000,1.000,70.000,65.573,1022.000,10000.000,24.000,70.000
2276414.000,2017-01-04 00:00:00,25834.000,3.000,26361.000,1.000,47.867,44.840,1022.000,10000.000,24.000,47.867
2276414.000,2017-01-04 00:00:00,25834.000,2.000,99595.000,1.000,8.653,8.107,1022.000,10000.000,24.000,8.653
2295620.000,2017-01-04 00:00:00,25862.000,2.000,72318.000,1.000,80.000,80.000,1012.000,10000.000,10.000,80.000
2304082.000,2017-01-04 00:00:00,25885.000,1.000,74961.000,1.000,28.400,28.400,1218.000,10000.000,23.000,28.400
2304082.000,2017-01-04 00:00:00,25885.000,4.000,51403.000,1.000,19.600,19.600,1218.000,10000.000,23.000,19.600
2304277.000,2017-01-04 00:00:00,26043.000,1.000,101738.000,1.000,62.533,49.200,1830.000,10000.000,15.000,62.533
2304324.000,2017-01-04 00:00:00,25983.000,1.000,49943.000,1.000,12.613,12.613,1637.000,10000.000,3.000,12.613
2304480.000,2017-01-04 00:00:00,25917.000,1.000,35246.000,1.000,63.467,63.467,1349.000,10000.000,3.000,63.467
2304663.000,2017-01-04 00:00:00,26037.000,1.000,101743.000,1.000,60.000,53.333,1818.000,10000.000,4.000,60.000
2304708.000,2017-01-04 00:00:00,25940.000,1.000,58342.000,1.000,61.733,58.640,1431.000,10000.000,15.000,61.733
2304946.000,2017-01-04 00:00:00,25994.000,1.000,2152.000,1.000,26.133,26.133,1658.000,10000.000,15.000,26.133
2304946.000,2017-01-04 00:00:00,25994.000,2.000,70570.000,1.000,5.733,5.733,1658.000,10000.000,15.000,5.733
2305727.000,2017-01-04 00:00:00,25881.000,2.000,99344.000,1.000,26.000,26.000,1209.000,10000.000,10.000,26.000
2305727.000,2017-01-04 00:00:00,25881.000,1.000,72170.000,1.000,22.000,22.000,1209.000,10000.000,10.000,22.000
2315275.000,2017-01-04 00:00:00,26000.000,1.000,101619.000,1.000,69.333,69.333,1704.000,10000.000,28.000,69.333
2317185.000,2017-01-04 00:00:00,26063.000,1.000,31431.000,1.000,32.267,30.653,1830.000,10000.000,28.000,32.267
2320710.000,2017-01-04 00:00:00,26048.000,1.000,81113.000,1.000,31.733,27.133,1843.000,10001.000,4.000,31.733
2320710.000,2017-01-04 00:00:00,26048.000,2.000,81098.000,1.000,31.733,27.133,1843.000,10002.000,4.000,31.733
2322865.000,2017-01-04 00:00:00,25896.000,1.000,100245.000,1.000,49.333,49.333,1242.000,10002.000,10.000,49.333
2322865.000,2017-01-04 00:00:00,25896.000,3.000,32154.000,1.000,23.067,23.067,1242.000,10002.000,10.000,23.067
2322865.000,2017-01-04 00:00:00,25896.000,2.000,11394.000,1.000,21.733,21.733,1242.000,10001.000,10.000,21.733
2324610.000,2017-01-04 00:00:00,25837.000,1.000,100122.000,1.000,36.933,25.600,1030.000,10000.000,23.000,36.933
2327456.000,2017-01-04 00:00:00,25969.000,1.000,26323.000,1.000,31.867,31.867,1600.000,10000.000,3.000,31.867
2334119.000,2017-01-04 00:00:00,25923.000,7.000,67799.000,1.000,42.133,42.133,1258.000,10001.000,29.000,42.133
2334119.000,2017-01-04 00:00:00,25923.000,8.000,1931.000,1.000,10.133,10.133,1258.000,10000.000,29.000,10.133
2334119.000,2017-01-04 00:00:00,25923.000,2.000,48204.000,1.000,22.267,22.267,1258.000,10001.000,29.000,22.267
2334119.000,2017-01-04 00:00:00,25923.000,6.000,72333.000,1.000,39.600,39.600,1258.000,10000.000,29.000,39.600
2334119.000,2017-01-04 00:00:00,25921.000,1.000,101066.000,1.000,66.667,58.440,1255.000,10002.000,29.000,66.667
2334119.000,2017-01-04 00:00:00,25923.000,4.000,11312.000,1.000,61.867,61.867,1258.000,10000.000,29.000,61.867
2334119.000,2017-01-04 00:00:00,25923.000,5.000,102548.000,1.000,8.000,8.000,1258.000,10000.000,29.000,8.000
2334119.000,2017-01-04 00:00:00,25923.000,1.000,101693.000,1.000,73.333,73.333,1258.000,10002.000,29.000,73.333
2334119.000,2017-01-04 00:00:00,25923.000,3.000,74280.000,1.000,22.533,22.533,1258.000,10000.000,29.000,22.533
2339819.000,2017-01-04 00:00:00,25979.000,1.000,24206.000,1.000,70.933,67.387,1622.000,10000.000,28.000,70.933
2339885.000,2017-01-04 00:00:00,25960.000,1.000,24603.000,1.000,25.200,23.587,1533.000,10000.000,23.000,25.200
2339885.000,2017-01-04 00:00:00,25960.000,3.000,71539.000,1.000,51.600,48.280,1533.000,10000.000,23.000,51.600
2364021.000,2017-01-04 00:00:00,25998.000,1.000,49216.000,1.000,66.267,62.947,1605.000,10000.000,15.000,66.267
2364021.000,2017-01-04 00:00:00,25998.000,3.000,24252.000,1.000,73.333,69.667,1605.000,10001.000,15.000,73.333
2364021.000,2017-01-04 00:00:00,25998.000,2.000,23655.000,1.000,22.800,21.653,1605.000,10002.000,15.000,22.800
2366112.000,2017-01-04 00:00:00,25945.000,1.000,100861.000,1.000,30.800,17.467,1441.000,10002.000,23.000,30.800
2375445.000,2017-01-04 00:00:00,25833.000,2.000,102062.000,1.000,7.867,7.867,1020.000,10002.000,3.000,7.867
2375445.000,2017-01-04 00:00:00,25833.000,1.000,101701.000,1.000,76.000,76.000,1020.000,10001.000,3.000,76.000
2394728.000,2017-01-04 00:00:00,25901.000,2.000,76102.000,1.000,97.333,90.480,1257.000,10000.000,3.000,97.333
2394728.000,2017-01-04 00:00:00,25901.000,4.000,101665.000,1.000,60.000,55.773,1257.000,10000.000,3.000,60.000
2403090.000,2017-01-04 00:00:00,25918.000,2.000,58901.000,1.000,22.133,22.133,1350.000,10001.000,4.000,22.133
2403090.000,2017-01-04 00:00:00,25918.000,1.000,61420.000,1.000,34.667,34.667,1350.000,10000.000,4.000,34.667
2453902.000,2017-01-04 00:00:00,25895.000,2.000,26431.000,1.000,67.333,63.960,1236.000,10001.000,10.000,67.333
2453902.000,2017-01-04 00:00:00,25895.000,3.000,26427.000,1.000,20.133,19.133,1236.000,10000.000,10.000,20.133
2458199.000,2017-01-04 00:00:00,25914.000,4.000,98073.000,1.000,81.600,81.600,1242.000,10002.000,29.000,81.600
2458199.000,2017-01-04 00:00:00,25914.000,2.000,18221.000,1.000,62.667,62.667,1242.000,10000.000,29.000,62.667
2458199.000,2017-01-04 00:00:00,25914.000,3.000,100462.000,1.000,63.333,63.333,1242.000,10000.000,29.000,63.333
2475690.000,2017-01-04 00:00:00,25835.000,1.000,71416.000,1.000,42.533,42.533,1024.000,10002.000,24.000,42.533
2478513.000,2017-01-04 00:00:00,25964.000,2.000,72945.000,1.000,22.267,22.267,1540.000,10000.000,28.000,22.267
2486796.000,2017-01-04 00:00:00,25856.000,3.000,102294.000,1.000,6.000,6.000,1105.000,10000.000,29.000,6.000
2486796.000,2017-01-04 00:00:00,25856.000,2.000,75182.000,1.000,8.667,8.667,1105.000,10000.000,29.000,8.667
2486796.000,2017-01-04 00:00:00,25856.000,1.000,104188.000,1.000,7.067,7.067,1105.000,10000.000,29.000,7.067
2525525.000,2017-01-04 00:00:00,25852.000,1.000,21074.000,1.000,61.067,61.067,1058.000,10000.000,23.000,61.067
2525525.000,2017-01-04 00:00:00,25852.000,2.000,100530.000,1.000,6.667,6.667,1058.000,10000.000,23.000,6.667
2529541.000,2017-01-04 00:00:00,25903.000,1.000,88791.000,1.000,80.000,80.000,1300.000,10000.000,28.000,80.000
2593535.000,2017-01-04 00:00:00,25874.000,3.000,24108.000,1.000,44.400,44.400,1154.000,10000.000,29.000,44.400
2593535.000,2017-01-04 00:00:00,25874.000,2.000,51401.000,1.000,19.600,19.600,1154.000,10000.000,29.000,19.600
2593616.000,2017-01-04 00:00:00,26001.000,4.000,96006.000,1.000,38.667,8.773,1706.000,10000.000,4.000,38.667
2593616.000,2017-01-04 00:00:00,26001.000,5.000,91341.000,1.000,26.400,5.987,1706.000,10000.000,4.000,26.400
2593616.000,2017-01-04 00:00:00,26001.000,3.000,95889.000,1.000,17.067,3.867,1706.000,10000.000,4.000,17.067
2593616.000,2017-01-04 00:00:00,26001.000,1.000,96003.000,1.000,19.067,4.320,1706.000,10000.000,4.000,19.067
2665516.000,2017-01-04 00:00:00,26049.000,1.000,19213.000,1.000,92.933,88.293,1845.000,10000.000,28.000,92.933
2668013.000,2017-01-04 00:00:00,26034.000,2.000,90165.000,1.000,7.867,7.867,1814.000,10000.000,15.000,7.867
2668013.000,2017-01-04 00:00:00,26034.000,1.000,104014.000,1.000,11.600,11.600,1814.000,10000.000,15.000,11.600
2670515.000,2017-01-04 00:00:00,25965.000,1.000,90452.000,1.000,83.467,83.467,1549.000,10000.000,28.000,83.467
2673353.000,2017-01-04 00:00:00,25861.000,2.000,101169.000,1.000,56.000,56.000,1108.000,10000.000,23.000,56.000
2673353.000,2017-01-04 00:00:00,25861.000,1.000,100547.000,1.000,104.667,104.667,1108.000,10000.000,23.000,104.667
2681340.000,2017-01-04 00:00:00,26021.000,1.000,67813.000,1.000,12.507,12.507,1732.000,10000.000,10.000,12.507
2681340.000,2017-01-04 00:00:00,26021.000,2.000,51405.000,1.000,19.600,19.600,1732.000,10000.000,10.000,19.600
2685135.000,2017-01-04 00:00:00,25898.000,1.000,28012.000,1.000,73.333,73.333,1247.000,10000.000,3.000,73.333
2764515.000,2017-01-04 00:00:00,25908.000,5.000,102080.000,1.000,7.067,7.067,1315.000,10000.000,29.000,7.067
2764515.000,2017-01-04 00:00:00,25908.000,7.000,102287.000,1.000,6.000,6.000,1315.000,10000.000,29.000,6.000
2764515.000,2017-01-04 00:00:00,25908.000,1.000,90882.000,1.000,21.067,21.067,1315.000,10000.000,29.000,21.067
2764519.000,2017-01-04 00:00:00,25888.000,3.000,101078.000,1.000,56.000,56.000,1221.000,10000.000,10.000,56.000
2764519.000,2017-01-04 00:00:00,25888.000,2.000,101965.000,1.000,45.333,45.333,1221.000,10000.000,10.000,45.333
2764519.000,2017-01-04 00:00:00,25888.000,1.000,74248.000,1.000,22.400,22.400,1221.000,10000.000,10.000,22.400
2773806.000,2017-01-04 00:00:00,25851.000,1.000,26918.000,1.000,29.467,29.467,1056.000,10000.000,10.000,29.467
2779788.000,2017-01-04 00:00:00,25838.000,3.000,93546.000,1.000,10.000,10.000,1038.000,10000.000,24.000,10.000
2779788.000,2017-01-04 00:00:00,25838.000,1.000,101044.000,1.000,52.000,52.000,1038.000,10000.000,24.000,52.000
2779788.000,2017-01-04 00:00:00,25838.000,4.000,57128.000,1.000,25.333,25.333,1038.000,10000.000,24.000,25.333
2782273.000,2017-01-04 00:00:00,25836.000,1.000,26359.000,1.000,68.533,68.533,1025.000,10000.000,24.000,68.533
2785503.000,2017-01-04 00:00:00,26046.000,1.000,102013.000,1.000,58.667,58.667,1835.000,10000.000,15.000,58.667
2812880.000,2017-01-04 00:00:00,25995.000,4.000,99736.000,1.000,3.320,3.320,1659.000,10000.000,10.000,3.320
2812880.000,2017-01-04 00:00:00,25995.000,3.000,99729.000,1.000,3.320,3.320,1659.000,10000.000,10.000,3.320
2812880.000,2017-01-04 00:00:00,25995.000,2.000,39617.000,1.000,62.667,62.667,1659.000,10000.000,10.000,62.667
2817561.000,2017-01-04 00:00:00,25886.000,1.000,101196.000,1.000,70.667,70.667,1219.000,10000.000,23.000,70.667
2822891.000,2017-01-04 00:00:00,26045.000,1.000,53254.000,1.000,43.867,43.867,1832.000,10000.000,3.000,43.867
2827819.000,2017-01-04 00:00:00,26053.000,3.000,1956.000,1.000,9.467,8.133,1850.000,10000.000,4.000,9.467
2827819.000,2017-01-04 00:00:00,26053.000,1.000,100695.000,1.000,63.467,54.520,1850.000,10000.000,4.000,63.467
2827819.000,2017-01-04 00:00:00,26053.000,4.000,102286.000,1.000,6.000,5.147,1850.000,10000.000,4.000,6.000
2833271.000,2017-01-04 00:00:00,26024.000,2.000,102867.000,1.000,7.867,7.253,1741.000,10000.000,15.000,7.867
2833271.000,2017-01-04 00:00:00,26024.000,1.000,101059.000,1.000,69.333,63.893,1741.000,10000.000,15.000,69.333
2833271.000,2017-01-04 00:00:00,26024.000,3.000,102869.000,1.000,7.867,7.253,1741.000,10000.000,15.000,7.867
2837290.000,2017-01-04 00:00:00,26005.000,2.000,23575.000,1.000,32.800,32.800,1710.000,10000.000,15.000,32.800
2837290.000,2017-01-04 00:00:00,26005.000,1.000,24061.000,1.000,67.733,67.733,1710.000,10000.000,15.000,67.733
2841115.000,2017-01-04 00:00:00,25951.000,1.000,102008.000,1.000,49.333,49.333,1456.000,10000.000,26.000,49.333
2845855.000,2017-01-04 00:00:00,26033.000,1.000,101964.000,1.000,45.333,32.000,1812.000,10000.000,10.000,45.333
2846002.000,2017-01-04 00:00:00,25868.000,1.000,95348.000,1.000,78.533,78.533,1129.000,10000.000,10.000,78.533
2868033.000,2017-01-04 00:00:00,26047.000,1.000,71513.000,1.000,41.333,41.333,1837.000,10000.000,28.000,41.333
2874139.000,2017-01-04 00:00:00,25924.000,1.000,100537.000,1.000,28.000,26.600,1259.000,10000.000,29.000,28.000
2874144.000,2017-01-04 00:00:00,25927.000,1.000,27136.000,1.000,62.400,59.280,1400.000,10000.000,10.000,62.400
2878427.000,2017-01-04 00:00:00,26027.000,1.000,22937.000,1.000,40.800,31.813,1745.000,10000.000,10.000,40.800
2878427.000,2017-01-04 00:00:00,26027.000,2.000,22008.000,1.000,19.733,15.387,1745.000,10000.000,10.000,19.733
2890943.000,2017-01-04 00:00:00,25825.000,1.000,90289.000,1.000,36.400,36.400,952.000,10000.000,29.000,36.400
2894126.000,2017-01-04 00:00:00,25873.000,1.000,68146.000,1.000,8.800,8.800,1152.000,10000.000,23.000,8.800
2915724.000,2017-01-04 00:00:00,26026.000,1.000,2098.000,1.000,9.467,9.467,1744.000,10000.000,3.000,9.467
2949671.000,2017-01-04 00:00:00,25950.000,2.000,102724.000,1.000,24.267,24.267,1454.000,10000.000,29.000,24.267
2949671.000,2017-01-04 00:00:00,25950.000,1.000,102726.000,1.000,24.267,24.267,1454.000,10000.000,29.000,24.267
2949671.000,2017-01-04 00:00:00,25950.000,3.000,102732.000,1.000,23.067,23.067,1454.000,10000.000,29.000,23.067
2949671.000,2017-01-04 00:00:00,25950.000,4.000,100556.000,1.000,12.667,12.667,1454.000,10000.000,29.000,12.667
2951590.000,2017-01-04 00:00:00,25912.000,1.000,101167.000,1.000,56.000,53.200,1235.000,10000.000,29.000,56.000
2984772.000,2017-01-04 00:00:00,25922.000,2.000,98181.000,1.000,27.067,23.413,1353.000,10000.000,4.000,27.067
3034622.000,2017-01-04 00:00:00,25889.000,1.000,21452.000,1.000,56.400,56.400,1223.000,10000.000,24.000,56.400
3034622.000,2017-01-04 00:00:00,25899.000,1.000,73452.000,1.000,65.467,52.133,1248.000,10000.000,3.000,65.467
3034622.000,2017-01-04 00:00:00,25889.000,3.000,101781.000,1.000,62.667,62.667,1223.000,10000.000,24.000,62.667
3034622.000,2017-01-04 00:00:00,25889.000,2.000,101788.000,1.000,70.667,70.667,1223.000,10000.000,24.000,70.667
3042830.000,2017-01-04 00:00:00,25832.000,4.000,72984.000,1.000,7.333,6.600,1017.000,10000.000,24.000,7.333
3042830.000,2017-01-04 00:00:00,25832.000,6.000,101723.000,1.000,72.000,64.813,1017.000,10000.000,24.000,72.000
3042830.000,2017-01-04 00:00:00,25832.000,3.000,100801.000,1.000,13.200,11.880,1017.000,10000.000,24.000,13.200
3106265.000,2017-01-04 00:00:00,25890.000,1.000,101170.000,1.000,61.333,44.933,1225.000,10000.000,23.000,61.333
